year;_STATE;_COUNTY
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2016;Kansas;Douglas
2017;Kansas;Douglas
2017;Kansas;Douglas
2016;Kansas;Douglas
1969;Kansas;Douglas
1969;Kansas;Douglas
1970;Kansas;Douglas
1970;Kansas;Douglas
1971;Kansas;Douglas
1970;Kansas;Douglas
2007;Kansas;Douglas
2004;Kansas;Douglas
1970;Kansas;Douglas
1970;Kansas;Douglas
1970;Kansas;Douglas
1970;Kansas;Douglas
1970;Kansas;Douglas
1970;Kansas;Douglas
1977;Kansas;Douglas
1968;Kansas;Douglas
1968;Kansas;Douglas
1968;Kansas;Douglas
1968;Kansas;Douglas
1993;Kansas;Douglas
1972;Kansas;Douglas
1972;Kansas;Douglas
1972;Kansas;Douglas
1972;Kansas;Douglas
